x y label
0 0.2 a
1 0.2 a
2 0.2 a
3 0.3 a
4 0.1 a
5 0.2 a
6 0.1 a
7 0.2 a
8 0.1 a
9 0.2 a
10 0.2 a
11 0.2 a
12 0.2 a
13 0.2 a
14 0.2 a
15 0.1 a
16 0.2 a
17 0.1 a
18 0.2 a
19 0.2 a
20 0.1 a
21 0.2 a
22 0.4 a
23 0.2 a
24 0.2 a
25 0.2 a
26 0.2 a
27 0.2 a
28 0.2 a
29 0.2 a
30 0.2 a
31 0.1 a
32 0.2 a
33 0.2 a
34 0.2 a
35 0.2 a
36 0.3 a
37 0.2 a
38 0.1 a
39 0.1 a
40 0.2 a
41 0.2 a
42 0.2 a
43 0.2 a
44 0.2 a
45 0.1 a
46 0.1 a
47 0.1 a
48 0.1 a
49 0.2 a
50 0.2 a
51 0.2 a
52 0.1 a
53 0.1 a
54 0.1 a
55 0.2 a
56 0.2 a
57 0.2 a
58 0.2 a
59 0.2 a
60 0.2 a
61 0.2 a
62 0.2 a
63 0.1 a
64 0.1 a
65 0.4 a
66 0.2 a
67 0.2 a
68 0.2 a
69 0.2 a
70 0.2 a
71 0.2 a
72 0.1 a
73 0.1 a
74 0.2 a
75 0.1 a
76 0.2 a
77 0.2 a
78 0.2 a
79 0.2 a
80 0.2 a
81 0.1 a
82 0.1 a
83 0.1 a
84 0.1 a
85 0.1 a
86 0.2 a
87 0.2 a
88 0.2 a
89 0.2 a
90 0.3 a
91 0.2 a
92 0.2 a
93 0.2 a
94 0.2 a
95 0.1 a
96 0.3 a
97 0.1 a
98 0.2 a
99 0.1 a
0 0.2 b
1 0.4 b
2 0.4 b
3 0.4 b
4 0.3 b
5 0.3 b
6 0.2 b
7 0.2 b
8 0.3 b
9 0.5 b
10 0.3 b
11 0.6 b
12 0.2 b
13 0.3 b
14 0.3 b
15 0.2 b
16 0.4 b
17 0.4 b
18 0.4 b
19 0.2 b
20 0.4 b
21 0.3 b
22 0.3 b
23 0.5 b
24 0.2 b
25 0.2 b
26 0.5 b
27 0.2 b
28 0.5 b
29 0.2 b
30 0.3 b
31 0.4 b
32 0.2 b
33 0.3 b
34 0.2 b
35 0.3 b
36 0.2 b
37 0.5 b
38 0.3 b
39 0.4 b
40 0.3 b
41 0.2 b
42 0.2 b
43 0.4 b
44 0.2 b
45 0.3 b
46 0.3 b
47 0.3 b
48 0.3 b
49 0.2 b
50 0.4 b
51 0.3 b
52 0.4 b
53 0.3 b
54 0.3 b
55 0.4 b
56 0.2 b
57 0.2 b
58 0.4 b
59 0.3 b
60 0.3 b
61 0.2 b
62 0.4 b
63 0.2 b
64 0.5 b
65 0.2 b
66 0.3 b
67 0.4 b
68 0.4 b
69 0.3 b
70 0.2 b
71 0.3 b
72 0.2 b
73 0.3 b
74 0.5 b
75 0.3 b
76 0.5 b
77 0.3 b
78 0.2 b
79 0.5 b
80 0.3 b
81 0.4 b
82 0.4 b
83 0.2 b
84 0.2 b
85 0.2 b
86 0.2 b
87 0.3 b
88 0.3 b
89 0.4 b
90 0.3 b
91 0.3 b
92 0.3 b
93 0.4 b
94 0.3 b
95 0.3 b
96 0.3 b
97 0.2 b
98 0.8 b
99 0.4 b
0 0.6 c
1 0.5 c
2 0.2 c
3 0.2 c
4 0.2 c
5 0.2 c
6 0.5 c
7 0.3 c
8 0.4 c
9 0.4 c
10 0.1 c
11 0.3 c
12 0.3 c
13 0.6 c
14 0.3 c
15 0.4 c
16 0.2 c
17 0.3 c
18 0.4 c
19 0.3 c
20 0.3 c
21 0.2 c
22 0.6 c
23 0.5 c
24 0.4 c
25 0.1 c
26 0.4 c
27 0.3 c
28 0.3 c
29 0.3 c
30 0.5 c
31 0.8 c
32 0.5 c
33 0.7 c
34 0.2 c
35 0.2 c
36 0.7 c
37 0.3 c
38 0.4 c
39 0.4 c
40 0.5 c
41 0.9 c
42 0.5 c
43 0.5 c
44 0.4 c
45 0.3 c
46 0.5 c
47 0.3 c
48 0.3 c
49 0.3 c
50 0.3 c
51 0.2 c
52 0.3 c
53 0.3 c
54 0.3 c
55 0.9 c
56 0.4 c
57 0.3 c
58 0.2 c
59 0.2 c
60 0.7 c
61 0.4 c
62 0.8 c
63 0.4 c
64 0.4 c
65 0.2 c
66 0.8 c
67 0.9 c
68 0.3 c
69 0.3 c
70 0.4 c
71 0.3 c
72 0.4 c
73 0.5 c
74 0.6 c
75 0.4 c
76 0.4 c
77 0.2 c
78 0.2 c
79 0.2 c
80 0.6 c
81 0.4 c
82 0.4 c
83 0.4 c
84 0.4 c
85 0.7 c
86 0.3 c
87 0.3 c
88 0.5 c
89 0.6 c
90 0.7 c
91 0.4 c
92 0.3 c
93 0.7 c
94 0.2 c
95 0.2 c
96 0.3 c
97 0.2 c
98 0.2 c
99 0.3 c
0 0.1 d
1 0.1 d
2 0.1 d
3 1.0 d
4 0.1 d
5 0.1 d
6 1.0 d
7 0.7 d
8 1.0 d
9 0.2 d
10 0.6 d
11 0.3 d
12 0.2 d
13 0.2 d
14 0.2 d
15 0.3 d
16 0.9 d
17 0.2 d
18 0.1 d
19 0.2 d
20 0.1 d
21 0.5 d
22 0.9 d
23 0.6 d
24 0.6 d
25 0.1 d
26 0.2 d
27 0.9 d
28 0.2 d
29 0.8 d
30 0.2 d
31 0.9 d
32 0.9 d
33 1.0 d
34 0.1 d
35 0.1 d
36 0.1 d
37 0.1 d
38 0.2 d
39 0.3 d
40 0.2 d
41 0.2 d
42 0.1 d
43 0.2 d
44 0.6 d
45 0.8 d
46 0.1 d
47 0.1 d
48 0.2 d
49 0.1 d
50 0.9 d
51 0.3 d
52 0.9 d
53 1.0 d
54 0.1 d
55 0.2 d
56 0.2 d
57 0.9 d
58 0.9 d
59 0.8 d
60 0.8 d
61 0.1 d
62 0.5 d
63 0.1 d
64 0.2 d
65 1.0 d
66 0.1 d
67 1.0 d
68 0.1 d
69 0.8 d
70 0.6 d
71 0.1 d
72 0.3 d
73 0.1 d
74 0.5 d
75 0.9 d
76 0.2 d
77 0.1 d
78 0.1 d
79 0.7 d
80 0.1 d
81 0.1 d
82 0.3 d
83 0.1 d
84 0.1 d
85 0.1 d
86 0.1 d
87 1.0 d
88 0.1 d
89 1.0 d
90 0.2 d
91 0.9 d
92 0.2 d
93 0.1 d
94 0.1 d
95 0.2 d
96 0.2 d
97 1.0 d
98 0.9 d
99 0.6 d
