x y label
0 0.001 a
1 0.001 a
2 0.001 a
3 0.001 a
4 0.001 a
5 0.001 a
6 0.001 a
7 0.001 a
8 0.001 a
9 0.001 a
10 0.001 a
11 0.001 a
12 0.001 a
13 0.001 a
14 0.001 a
15 0.001 a
16 0.001 a
17 0.001 a
18 0.001 a
19 0.001 a
20 0.001 a
21 0.001 a
22 0.001 a
23 0.001 a
24 0.001 a
25 0.001 a
26 0.001 a
27 0.001 a
28 0.001 a
29 1.0 a
30 0.001 a
31 0.001 a
32 0.001 a
33 0.001 a
34 0.001 a
35 0.001 a
36 0.001 a
37 0.001 a
38 0.001 a
39 0.001 a
40 0.001 a
41 1.0 a
42 0.001 a
43 0.001 a
44 0.001 a
45 0.001 a
46 0.001 a
47 0.001 a
48 0.001 a
49 0.001 a
50 0.001 a
51 0.001 a
52 0.001 a
53 0.001 a
54 0.001 a
55 0.001 a
56 0.001 a
57 0.001 a
58 0.001 a
59 0.001 a
60 0.001 a
61 0.001 a
62 0.001 a
63 0.001 a
64 0.001 a
65 0.001 a
66 0.001 a
67 0.001 a
68 0.001 a
69 0.001 a
70 0.001 a
71 0.001 a
72 0.001 a
73 0.001 a
74 0.001 a
75 0.001 a
76 0.001 a
77 0.001 a
78 0.001 a
79 0.001 a
80 0.001 a
81 0.001 a
82 0.001 a
83 0.001 a
84 0.001 a
85 0.001 a
86 0.001 a
87 0.001 a
88 0.001 a
89 0.001 a
90 0.001 a
91 0.001 a
92 0.001 a
93 0.001 a
94 0.001 a
95 0.001 a
96 0.001 a
97 0.001 a
98 0.001 a
99 0.001 a
0 0.001 b
1 0.001 b
2 0.001 b
3 0.001 b
4 0.001 b
5 0.001 b
6 0.001 b
7 0.001 b
8 0.001 b
9 0.001 b
10 0.001 b
11 0.001 b
12 0.001 b
13 0.001 b
14 0.001 b
15 0.001 b
16 0.001 b
17 0.001 b
18 0.001 b
19 0.001 b
20 0.001 b
21 0.001 b
22 0.001 b
23 0.001 b
24 0.001 b
25 0.001 b
26 0.001 b
27 0.001 b
28 0.001 b
29 0.001 b
30 0.001 b
31 0.001 b
32 0.001 b
33 0.001 b
34 0.001 b
35 0.001 b
36 0.001 b
37 0.001 b
38 0.001 b
39 0.001 b
40 0.001 b
41 0.001 b
42 0.001 b
43 0.001 b
44 0.001 b
45 0.001 b
46 0.001 b
47 0.001 b
48 0.001 b
49 0.001 b
50 0.001 b
51 0.001 b
52 0.001 b
53 0.001 b
54 0.001 b
55 0.001 b
56 0.001 b
57 0.001 b
58 0.001 b
59 0.001 b
60 0.001 b
61 0.001 b
62 0.001 b
63 0.001 b
64 0.001 b
65 0.001 b
66 0.001 b
67 0.001 b
68 0.001 b
69 0.001 b
70 0.001 b
71 0.001 b
72 0.001 b
73 0.001 b
74 0.001 b
75 0.001 b
76 0.001 b
77 0.001 b
78 0.001 b
79 0.001 b
80 0.001 b
81 0.001 b
82 0.001 b
83 0.001 b
84 0.001 b
85 0.001 b
86 0.001 b
87 0.001 b
88 0.001 b
89 0.001 b
90 0.001 b
91 0.001 b
92 0.001 b
93 0.001 b
94 0.001 b
95 0.001 b
96 0.001 b
97 0.001 b
98 0.001 b
99 0.001 b
0 0.001 c
1 0.001 c
2 0.001 c
3 0.001 c
